Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1805543,ILMN_1805543,0.522517857,0.123674082,4.224958444,2.39E-05,8.09E-05,2.39E-05,2.48E-05,1.686268091,1.323290067,2.148810867
ILMN_1737298,ILMN_1737298,0.53362484,0.121105801,4.40626986,1.05E-05,2.26E-06,1.05E-05,2.72E-05,1.705101841,1.344822228,2.161900828
ILMN_1779448,ILMN_1779448,0.417752747,0.099985176,4.178146851,2.94E-05,0.000196785,2.94E-05,2.78E-05,1.518545163,1.248303468,1.84729072
ILMN_1653504,ILMN_1653504,0.593313706,0.13900826,4.268190292,1.97E-05,0.000229268,1.97E-05,2.86E-05,1.809976219,1.378316081,2.376823399
ILMN_1831258,ILMN_1831258,0.515544373,0.124019375,4.156966398,3.23E-05,7.73E-05,3.23E-05,2.90E-05,1.674549834,1.313205199,2.13532291
ILMN_1763207,ILMN_1763207,0.419578789,0.102077874,4.110379374,3.95E-05,0.000215807,3.95E-05,2.99E-05,1.521320624,1.245466093,1.858273343
ILMN_1769753,ILMN_1769753,0.492011875,0.116422584,4.22608619,2.38E-05,1.43E-05,2.38E-05,3.03E-05,1.635603541,1.301903993,2.054835809
ILMN_1679638,ILMN_1679638,0.52577503,0.12761311,4.120070652,3.79E-05,7.29E-05,3.79E-05,3.13E-05,1.691769513,1.317397145,2.172529443
ILMN_1719828,ILMN_1719828,0.440013893,0.105336998,4.177201779,2.95E-05,0.000100619,2.95E-05,3.41E-05,1.552728791,1.263085039,1.908792064
ILMN_1751489,ILMN_1751489,0.493753264,0.121638667,4.059180166,4.92E-05,0.000172692,4.92E-05,3.44E-05,1.638454245,1.290908014,2.079569019
ILMN_1742441,ILMN_1742441,-0.428182326,0.102821108,-4.164342676,3.12E-05,2.14E-05,3.12E-05,3.62E-05,0.651692583,0.532747344,0.797194445
ILMN_1887418,ILMN_1887418,0.467069215,0.107860269,4.330317541,1.49E-05,9.70E-05,1.49E-05,3.64E-05,1.595311819,1.29132261,1.97086288
ILMN_1710808,ILMN_1710808,0.400533809,0.100647235,3.979580848,6.90E-05,0.00100155,6.90E-05,3.71E-05,1.49262126,1.225401877,1.818112299
ILMN_1906547,ILMN_1906547,-0.468800204,0.11456287,-4.092078037,4.28E-05,3.19E-05,4.28E-05,3.86E-05,0.625752593,0.499903948,0.783283088
ILMN_1815057,ILMN_1815057,0.449882887,0.109157928,4.121394542,3.77E-05,4.57E-05,3.77E-05,3.91E-05,1.568128526,1.266094898,1.942213872
ILMN_1704730,ILMN_1704730,0.493666756,0.120101883,4.110399797,3.95E-05,4.59E-05,3.95E-05,3.91E-05,1.638312512,1.294690138,2.073135347
ILMN_1654324,ILMN_1654324,0.426971773,0.103603558,4.121207606,3.77E-05,6.36E-05,3.77E-05,3.91E-05,1.5326094,1.250961593,1.877668817
ILMN_1801584,ILMN_1801584,0.457681865,0.110341931,4.147850763,3.36E-05,0.000115909,3.36E-05,3.94E-05,1.58040614,1.273050072,1.96196805
ILMN_1695036,ILMN_1695036,0.462535072,0.115903197,3.990701586,6.59E-05,0.000475575,6.59E-05,4.50E-05,1.588094822,1.265375582,1.993119829
ILMN_1763444,ILMN_1763444,0.379741328,0.0938078,4.048078396,5.16E-05,0.000213242,5.16E-05,4.60E-05,1.461906387,1.216382657,1.756988454
ILMN_1655296,ILMN_1655296,0.565009557,0.139541358,4.049047292,5.14E-05,0.000100793,5.14E-05,4.73E-05,1.759464598,1.338451731,2.312907967
ILMN_1879764,ILMN_1879764,0.478243063,0.115678572,4.134240738,3.56E-05,3.40E-05,3.56E-05,4.76E-05,1.613237555,1.285975056,2.023783739
ILMN_1780546,ILMN_1780546,0.347370695,0.090454107,3.840297656,0.000122885,0.001375437,0.000122885,5.00E-05,1.415341288,1.185404306,1.689879943
ILMN_1688904,ILMN_1688904,-0.454333221,0.111725212,-4.066523673,4.77E-05,6.22E-05,4.77E-05,5.46E-05,0.634871146,0.51001731,0.790289592
ILMN_1657145,ILMN_1657145,0.448573526,0.11297352,3.970607662,7.17E-05,0.001148101,7.17E-05,5.75E-05,1.566076623,1.255017472,1.954232546
ILMN_1895378,ILMN_1895378,-0.424054466,0.105374903,-4.024245385,5.72E-05,7.17E-05,5.72E-05,5.84E-05,0.654388239,0.53228007,0.804508737
ILMN_1758164,ILMN_1758164,0.486086619,0.122430473,3.970307453,7.18E-05,0.000144393,7.18E-05,5.90E-05,1.625940827,1.279062389,2.066891806
ILMN_1748386,ILMN_1748386,0.36373772,0.093812364,3.877289778,0.000105627,0.000715857,0.000105627,5.97E-05,1.438696823,1.197060377,1.729109567
